dataset_id,sample_id,NAMPT_z,inflammatory_score,repair_score,balance_score,immune_pan_leukocyte,macrophage_monocyte,t_cell,blood_erythroid,fibroblast_stroma,adipocyte,skeletal_muscle_fiber
GSE272133_muscle_bariatric,OB_Participant_11_w52,1.4028088732999673,0.478793185494019,0.9763830386361241,0.4975898531421051,5.366083712831692,5.157682127466052,nan,nan,nan,3.38240164164741,nan
GSE272133_muscle_bariatric,OB_Participant_12_w52,-0.10830979274577195,0.35052364754724735,0.14413825148802167,-0.20638539605922568,6.312968549769231,5.629515402239325,nan,nan,nan,4.183181346100528,nan
GSE272133_muscle_bariatric,OB_Participant_13_w52,0.44176884702475683,0.4869389805756066,0.42581417519677583,-0.06112480537883075,6.022197059679227,5.160243853164586,nan,nan,nan,3.317094904988991,nan
GSE272133_muscle_bariatric,T2D_Participant_1_w0,-1.2010334606701418,-0.9416159727460185,-1.2244880186215403,-0.28287204587552184,4.133393270347451,3.793773594597012,nan,nan,nan,1.4864772062124325,nan
GSE272133_muscle_bariatric,T2D_Participant_2_w0,-0.915428185639537,-0.009909801685863437,-0.25869784684517244,-0.248788045159309,5.906088652757223,4.226913445671337,nan,nan,nan,1.584962500721156,nan
GSE272133_muscle_bariatric,T2D_Participant_3_w0,0.2989425226010948,-0.7111837462048959,-0.5095027782784417,0.20168096792645418,4.5620606559145935,3.348317599415212,nan,nan,nan,2.6356301985361728,nan
GSE272133_muscle_bariatric,T2D_Participant_4_w0,-0.24667313699168839,-0.6806011385646057,-0.7850964735554575,-0.10449533499085184,4.616809838379851,3.8844874091688966,nan,nan,nan,1.5479520632582415,nan
GSE272133_muscle_bariatric,T2D_Participant_5_w0,-1.2100764624076499,-0.9386744843471663,-1.062304421108849,-0.12362993676168277,3.9534452978042594,2.7819209068610067,nan,nan,nan,2.4554407380819385,nan
GSE272133_muscle_bariatric,T2D_Participant_6_w0,-0.9033660362081886,0.06255461761891808,-1.114731868130045,-1.177286485748963,5.9334462638383,4.840640799335479,nan,nan,nan,3.7319957660095024,nan
GSE272133_muscle_bariatric,T2D_Participant_7_w0,-1.7426753640386807,-0.5273219040694735,-1.0390354984232515,-0.511713594353778,4.406890595608519,4.328771253765777,nan,nan,nan,3.1517757401015203,nan
GSE272133_muscle_bariatric,T2D_Participant_8_w0,-1.4723799184534887,-0.6111472683421733,-0.9179151296015287,-0.3067678612593554,3.6609640474436813,3.637294213298276,nan,nan,nan,2.1949875002403854,nan
GSE272133_muscle_bariatric,T2D_Participant_9_w0,0.10755816710840271,-0.5389520601220337,-0.8370463192466234,-0.29809425912458976,3.877443751081734,3.3321158293144335,nan,nan,nan,2.0951340729540826,nan
GSE272133_muscle_bariatric,T2D_Participant_10_w0,-0.9275482799662268,-0.4823145108489825,-0.7193296353776975,-0.23701512452871493,4.80643424864552,3.5612926665757514,nan,nan,nan,1.1949875002403854,nan
GSE272133_muscle_bariatric,T2D_Participant_11_w0,-0.7819883440533093,-0.7092185220600635,-0.37598546276634753,0.333233059293716,2.903677461028802,3.178339510736628,nan,nan,nan,4.589325833867971,nan
GSE272133_muscle_bariatric,T2D_Participant_12_w0,-0.9235017758369919,-0.5160577072801408,-0.49941246502591413,0.016645242254226644,4.4351823597917015,4.050723548999897,nan,nan,nan,3.9182958340544896,nan
GSE272133_muscle_bariatric,T2D_Participant_13_w0,-0.4427012679256149,-0.8042961251822334,-1.1596344842191204,-0.35533835903688704,4.665458439057309,4.1300539155167,nan,nan,nan,4.796454151881295,nan
GSE272133_muscle_bariatric,T2D_Participant_1_w52,-1.2055509100126525,-0.37986700993756556,-0.9961257999707727,-0.616258790033207,4.893951279695715,4.05457081785207,nan,nan,nan,4.6045937304056785,nan
GSE272133_muscle_bariatric,T2D_Participant_2_w52,-1.0182539395020496,0.2169838291177332,-0.03274744835999294,-0.24973127747772614,6.458872506721608,5.166440966112213,nan,nan,nan,2.826593421343033,nan
GSE272133_muscle_bariatric,T2D_Participant_3_w52,-0.2559659459642617,-0.6979270948276874,-0.7397414584645777,-0.041814363636890284,3.792481250360578,3.2195216543974237,nan,nan,nan,1.2691183073525347,nan
GSE272133_muscle_bariatric,T2D_Participant_4_w52,0.15018633696573624,-0.6243959757991575,-0.6503523291997902,-0.025956353400632737,4.975642357483486,3.965605843063463,nan,nan,nan,1.1073093649624541,nan
GSE272133_muscle_bariatric,T2D_Participant_5_w52,-1.060587059895703,-0.5945458734949576,-0.5003214534815996,0.09422442001335796,4.729715809318648,3.5727852570228684,nan,nan,nan,1.6193269983758574,nan
GSE272133_muscle_bariatric,T2D_Participant_6_w52,-0.08500251582822504,0.4761396568954777,-0.22443873329468986,-0.7005783901901675,5.799491485518045,4.994627038512905,nan,nan,nan,4.993677352787008,nan
GSE272133_muscle_bariatric,T2D_Participant_7_w52,-2.235328639092114,-0.567551698030956,-0.6522785492081015,-0.08472685117714551,5.648458103439644,4.259761737092799,nan,nan,nan,3.8715699480384025,nan
GSE272133_muscle_bariatric,T2D_Participant_8_w52,-0.5484812475932195,-0.5916724890314174,-0.30210751270670777,0.2895649763247097,4.928990497563786,3.7868988256782017,nan,nan,nan,2.3899750004807707,nan
GSE272133_muscle_bariatric,T2D_Participant_9_w52,-0.021995966583449857,-0.4566332405623909,-0.5472959103843753,-0.0906626698219844,5.178225985110878,3.890619330382382,nan,nan,nan,2.318065436795625,nan
