dataset_id,contrast,domain,metric,analysis_design,analysis_n,mean_delta,delta_sd,se,effect_size,ci95_low,ci95_high
GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,exercise,repair_score,paired_intersection,6,-0.27412317577186457,1.4910675691431217,0.608726,-0.18384356379596944,-1.401032690246429,0.7516682942312537
GSE312393_6weeks_training,post_training_vs_pre_training,exercise,NAMPT_z,paired,3,1.106962007567265,0.552860705916426,0.319194,2.002243957150756,0.5387334035780535,1.6430527972601532
GSE312393_6weeks_training,post_training_vs_pre_training,exercise,balance_score,paired,3,0.26943376525506263,0.21698052059431258,0.125274,1.2417417218701472,0.07035129449320238,0.5007140369687886
GSE312393_6weeks_training,post_training_vs_pre_training,exercise,inflammatory_score,paired,3,0.1607486672783088,0.4274221013374258,0.246772,0.37608880489641955,-0.10215261550387461,0.6539337960290004
GSE312393_6weeks_training,post_training_vs_pre_training,exercise,repair_score,paired,3,0.43018243253337146,0.6352856522772825,0.366782,0.677148037251139,-0.03180132101067219,1.1546478329977892
GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,exercise,NAMPT_z,paired,10,1.2974500749984457,1.9129296586527709,0.604921,0.6782528929538412,0.33815073714499344,2.5602652223812825
GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,exercise,balance_score,paired,10,-0.005379513358981297,0.341389008866276,0.107957,-0.015757722771586016,-0.20741208102190276,0.19262047843336016
GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,exercise,inflammatory_score,paired,10,-0.008426228477938186,0.6046700957780304,0.191213,-0.0139352492156837,-0.3963472017932037,0.29875356945985904
GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,exercise,repair_score,paired,10,-0.013805741836919516,0.5758621779234688,0.182104,-0.023974038174728464,-0.37436735265642773,0.3006390831543298
GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,exercise,NAMPT_z,paired,10,1.1726139435077858,0.8083684190962349,0.255629,1.4505934618509486,0.6993677008205945,1.6536290029517648
GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,exercise,balance_score,paired,10,-1.0685191205997062,0.5978649619355634,0.189062,-1.7872248561621997,-1.4278213165660423,-0.7230152639436707
GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,exercise,inflammatory_score,paired,10,0.47240240693957836,0.6333149923708722,0.200272,0.7459201386834331,0.09342211576313351,0.84343468419899
GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,exercise,repair_score,paired,10,-0.5961167136601279,0.6630026981837918,0.20966,-0.8991165726672166,-1.0059377792819175,-0.22709001626893702
GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,exercise,NAMPT_z,paired_intersection,9,1.1101240421182412,0.9322035140741722,0.310735,1.1908601773731486,0.5722295231992323,1.6902030245317254
GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,exercise,balance_score,paired_intersection,9,0.021049207414290352,0.5574305276082955,0.18581,0.0377611314267337,-0.2980210852626083,0.37267476061748783
GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,exercise,inflammatory_score,paired_intersection,9,-0.09988355445268834,0.4264713379135531,0.142157,-0.23420930218043168,-0.38957049018550566,0.11696040512182165
GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,exercise,repair_score,paired_intersection,9,-0.07883434703839796,0.5097314085195964,0.16991,-0.15465860200248424,-0.39469551491167354,0.21907010896138873
GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,exercise,NAMPT_z,paired_intersection,9,0.7262199815490418,1.4332738796415063,0.477758,0.5066861204019748,-0.24482061170351754,1.480917110692056
GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,exercise,balance_score,paired_intersection,9,-0.5755252546056742,0.7655383831474852,0.255179,-0.7517915068339507,-0.9979745760085691,-0.05424615755657696
GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,exercise,inflammatory_score,paired_intersection,9,0.2893669759199644,0.968750398549481,0.322917,0.29870127161055754,-0.3910101936251399,0.7539054224875005
GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,exercise,repair_score,paired_intersection,9,-0.2861582786857099,0.4853898117372834,0.161797,-0.5895432326061939,-0.5606596917652357,0.03068101339251883
GSE318937_exercise_oleuropein,SIE_active_24h_vs_pre,exercise,NAMPT_z,paired,10,0.9831625362579584,1.159118626942475,0.366545,0.8481983753909176,0.3272236164505556,1.658607192261554
GSE318937_exercise_oleuropein,SIE_active_24h_vs_pre,exercise,balance_score,paired,10,-0.039610014175017486,0.3750965878088607,0.118616,-0.10559950546711372,-0.27261482378959456,0.14913415606621705
GSE318937_exercise_oleuropein,SIE_active_24h_vs_pre,exercise,inflammatory_score,paired,10,0.0117345948939987,0.5153679777822899,0.162974,0.022769351996789793,-0.3112030126620136,0.31138326007136824
GSE318937_exercise_oleuropein,SIE_active_24h_vs_pre,exercise,repair_score,paired,10,-0.027875419281018776,0.5570566640697043,0.176157,-0.05004054538611665,-0.3505822268337966,0.30481772535756374
GSE318937_exercise_oleuropein,SIE_active_post_vs_pre,exercise,NAMPT_z,paired,10,0.31595809487533605,0.8114498574564265,0.256603,0.38937476169598373,-0.13188776766656957,0.8044281299101297
GSE318937_exercise_oleuropein,SIE_active_post_vs_pre,exercise,balance_score,paired,10,-0.4747114406697473,0.3794560894631075,0.119995,-1.251031288867749,-0.7139862619071816,-0.2731133914688365
GSE318937_exercise_oleuropein,SIE_active_post_vs_pre,exercise,inflammatory_score,paired,10,0.3998371435162114,0.8085994700610526,0.255702,0.49448108528443885,-0.05950525581831369,0.8694554186066437
GSE318937_exercise_oleuropein,SIE_active_post_vs_pre,exercise,repair_score,paired,10,-0.07487429715353607,0.8233030100435648,0.260351,-0.09094379133822689,-0.5471345454885871,0.40797969207288426
GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,exercise,NAMPT_z,paired,10,1.306737995316448,1.3177830101037216,0.41672,0.991618487488009,0.5704059495189504,2.074553126379255
GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,exercise,balance_score,paired,10,-0.05873661933476213,0.3691316268766398,0.11673,-0.15912106971638965,-0.2887392511355072,0.13539628745513513
GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,exercise,inflammatory_score,paired,10,0.06798991448079493,0.5465384288058186,0.172831,0.12440097694383954,-0.23818231549232116,0.4009816999798754
GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,exercise,repair_score,paired,10,0.009253295146032781,0.29182782313809313,0.092284,0.03170806349624215,-0.17260066548933825,0.1699083428070336
GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,exercise,NAMPT_z,paired,10,0.4056938230249023,0.8468574421650662,0.2678,0.4790579887775563,-0.011146351654142734,0.9340699716396461
GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,exercise,balance_score,paired,10,-0.5003739164915564,0.33350577706763435,0.105464,-1.5003455738941562,-0.675770002291268,-0.28753758699966253
GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,exercise,inflammatory_score,paired,10,0.36643377095552704,0.7372109222806895,0.233127,0.4970541806704393,-0.08279562038386647,0.7847823849547525
GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,exercise,repair_score,paired,10,-0.1339401455360294,0.5672185865973244,0.17937,-0.23613497283211418,-0.47069946890454617,0.19445121371336185
GSE32575_monocytes_obesity_surgery,obese_after_vs_obese_before,obesity,NAMPT_z,paired,18,0.1952369490199304,1.1290124380930084,0.266111,0.17292719055398637,-0.3460122963662303,0.687343008865516
GSE32575_monocytes_obesity_surgery,obese_after_vs_obese_before,obesity,balance_score,paired,18,-0.21309800306928928,0.37447416047209353,0.088264,-0.569059298512453,-0.39399595620890404,-0.056390552045418416
GSE32575_monocytes_obesity_surgery,obese_after_vs_obese_before,obesity,inflammatory_score,paired,18,0.8198063877664317,0.7706133451319783,0.181635,1.063836219480508,0.47865021173573874,1.1469542661322518
GSE32575_monocytes_obesity_surgery,obese_after_vs_obese_before,obesity,repair_score,paired,18,0.6067083846971424,0.9249362755103752,0.21801,0.6559461454383587,0.19766282460616963,1.0297274271273986
