dataset_id,module,n_genes,n_samples,cronbach_alpha
GSE318937_exercise_oleuropein,nfkb_inflammation,7,118,0.9036483989543277
GSE318937_exercise_oleuropein,innate_immune_inflammation,3,118,0.752097533499001
GSE318937_exercise_oleuropein,monocyte_macrophage,4,118,0.8708734453186653
GSE318937_exercise_oleuropein,macrophage_resolution,2,118,0.32578156831310534
GSE318937_exercise_oleuropein,adipose_metabolism_resolution,2,118,0.6322155640693432
GSE318937_exercise_oleuropein,insulin_metabolism,4,118,0.5063237413027021
GSE318937_exercise_oleuropein,dna_damage_repair,3,118,0.8059755557080106
GSE318937_exercise_oleuropein,autophagy_repair,4,118,0.8287988529483182
GSE318937_exercise_oleuropein,mitochondrial_stress,2,118,0.24951418332098507
GSE32575_monocytes_obesity_surgery,nad_salvage_core,6,47,0.7524337607414179
GSE32575_monocytes_obesity_surgery,nad_de_novo,3,47,0.5207316595188268
GSE32575_monocytes_obesity_surgery,nad_consumption_inflammation,2,47,0.5520257649526874
GSE32575_monocytes_obesity_surgery,nad_consumption_repair,2,47,0.5333095044423726
GSE32575_monocytes_obesity_surgery,sirtuin_repair,3,47,0.41252120128122066
GSE32575_monocytes_obesity_surgery,ampk_mitochondria_repair,3,47,0.38452711477411045
GSE32575_monocytes_obesity_surgery,mitochondrial_biogenesis,2,47,0.4401584217138148
GSE32575_monocytes_obesity_surgery,oxidative_stress_repair,4,47,0.7734129410016213
GSE32575_monocytes_obesity_surgery,nfkb_inflammation,7,47,0.7632253871686178
GSE32575_monocytes_obesity_surgery,innate_immune_inflammation,3,47,0.6737035806550185
GSE32575_monocytes_obesity_surgery,monocyte_macrophage,4,47,0.8072764188847424
GSE32575_monocytes_obesity_surgery,macrophage_resolution,2,47,0.38316446649207303
GSE32575_monocytes_obesity_surgery,adipose_metabolism_resolution,2,47,0.4716855146017469
GSE32575_monocytes_obesity_surgery,insulin_metabolism,4,47,0.827996394653877
GSE32575_monocytes_obesity_surgery,dna_damage_repair,3,47,0.6955454666384628
GSE32575_monocytes_obesity_surgery,autophagy_repair,4,47,0.8453090399405784
GSE32575_monocytes_obesity_surgery,mitochondrial_stress,2,47,0.44507455352108716
