dataset_id,module_a,module_b,mean_correlation,n_pairs
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,nfkb_inflammation,0.1679778666086049,7
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,innate_immune_inflammation,0.2679966684094477,3
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,monocyte_macrophage,0.197856186617158,4
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,macrophage_resolution,0.31517462842995203,2
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,adipose_metabolism_resolution,0.5041547241639016,2
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,adipose_metabolism_inflammation,1.0,1
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,insulin_metabolism,0.12198623246962106,4
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,nutrient_sensing,0.20317135587968596,1
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,stress_repair,0.23405861252608168,1
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,dna_damage_repair,0.1887222280547832,3
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,autophagy_repair,0.05895290191227272,4
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,mitochondrial_stress,0.15498688007483122,2
GSE272133_muscle_bariatric,insulin_metabolism,nad_salvage_core,0.5289150898065249,24
GSE272133_muscle_bariatric,insulin_metabolism,nad_de_novo,0.2721824665464263,12
GSE272133_muscle_bariatric,insulin_metabolism,nad_consumption_inflammation,0.41716012206029424,8
GSE272133_muscle_bariatric,insulin_metabolism,nad_consumption_repair,0.7076856334602757,8
GSE272133_muscle_bariatric,insulin_metabolism,sirtuin_repair,0.6112054380830557,12
GSE272133_muscle_bariatric,insulin_metabolism,mitochondrial_biogenesis,0.6335544386634815,8
GSE272133_muscle_bariatric,insulin_metabolism,oxidative_stress_repair,0.6135052482569959,16
GSE272133_muscle_bariatric,insulin_metabolism,nfkb_inflammation,0.26546819313914544,28
GSE272133_muscle_bariatric,insulin_metabolism,monocyte_macrophage,0.28337446271800587,16
GSE272133_muscle_bariatric,insulin_metabolism,macrophage_resolution,0.19938074854900129,8
GSE272133_muscle_bariatric,insulin_metabolism,insulin_metabolism,0.5697938103577814,6
GSE272133_muscle_bariatric,insulin_metabolism,nutrient_sensing,0.6733500623117222,4
GSE272133_muscle_bariatric,insulin_metabolism,stress_repair,0.62850034162012,4
GSE272133_muscle_bariatric,insulin_metabolism,mitochondrial_stress,0.3199927367723859,8
GSE272133_muscle_bariatric,nutrient_sensing,sirtuin_repair,0.7187197492877991,3
GSE272133_muscle_bariatric,nutrient_sensing,oxidative_stress_repair,0.8484863736351161,4
GSE272133_muscle_bariatric,nutrient_sensing,nutrient_sensing,0.9999999999999998,1
GSE272133_muscle_bariatric,nutrient_sensing,stress_repair,0.8251664160339541,1
