sensitivity_variant,sensitivity_variant_type,sensitivity_description,excluded_genes,excluded_modules,dataset_id,contrast,contrast_source,control_condition,case_condition,metric,control_n_raw,case_n_raw,pairing_keys,independent_unit_keys,analysis_design,analysis_n,paired_n,analysis_n_control,analysis_n_case,control_mean,case_mean,mean_delta,delta_sd,ci95_low,ci95_high,effect_size_name,effect_size,p_value,test_method,ci_method,q_value_global,q_value_metric,evidence_flags,mean_delta_primary,ci95_low_primary,ci95_high_primary,p_value_primary,q_value_metric_primary,evidence_flags_primary,delta_difference_vs_primary,abs_delta_difference_vs_primary,relative_abs_delta_difference_vs_primary,direction,direction_primary,direction_same_as_primary,primary_ci_supported,variant_ci_supported,ci_support_retained,ci_support_lost,ci_support_gained,direction_flipped
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,NAMPT_z,9,10,participant_id,,paired_intersection,9,9,9,9,-0.43923065308801124,0.2869893284610309,0.7262199815490421,1.4332738796415052,-0.18401416526626393,1.4984646002500415,paired_cohen_dz,0.5066861204019754,0.15625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.3958333333333333,0.296875,small_n;ci_crosses_zero,0.7262199815490421,-0.18401416526626393,1.4984646002500415,0.15625,0.296875,small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,inflammatory_score,9,10,participant_id,,paired_intersection,9,9,9,9,-0.06136891331539521,0.2279980626045695,0.2893669759199647,0.9687503985494813,-0.33210547429336307,0.7570532537738621,paired_cohen_dz,0.29870127161055776,0.421875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.8221153846153846,0.890625,small_n;ci_crosses_zero,0.2893669759199647,-0.33210547429336307,0.7570532537738621,0.421875,0.890625,small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,repair_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.08237071394660612,-0.20378756473910362,-0.28615827868570975,0.4853898117372834,-0.5529496565442761,0.048239725247227,paired_cohen_dz,-0.5895432326061936,0.125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.3628472222222222,0.3392857142857143,small_n;ci_crosses_zero,-0.28615827868570975,-0.5529496565442761,0.048239725247227,0.125,0.3392857142857143,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,balance_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.1437396272620013,-0.43178562734367315,-0.5755252546056745,0.765538383147485,-0.9888319473160584,-0.060698476127624315,paired_cohen_dz,-0.7517915068339512,0.05859375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.20241477272727273,0.15904017857142858,small_n;ci_excludes_zero,-0.5755252546056745,-0.9888319473160584,-0.060698476127624315,0.05859375,0.15904017857142858,small_n;ci_excludes_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,NAMPT_z,9,10,participant_id,,paired_intersection,9,9,9,9,-0.43923065308801124,0.6708933890302309,1.110124042118242,0.9322035140741719,0.5838591454168959,1.707562935472511,paired_cohen_dz,1.1908601773731498,0.0078125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.07421875,0.0655368926214757,small_n;ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,1.110124042118242,0.5838591454168959,1.707562935472511,0.0078125,0.0655368926214757,small_n;ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,inflammatory_score,9,10,participant_id,,paired_intersection,9,9,9,9,-0.06136891331539521,-0.16125246776808308,-0.09988355445268787,0.42647133791355296,-0.38156863274738767,0.11957603279788172,paired_cohen_dz,-0.23420930218043065,0.58984375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9537898936170213,1.0,small_n;ci_crosses_zero,-0.09988355445268787,-0.38156863274738767,0.11957603279788172,0.58984375,1.0,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,repair_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.08237071394660612,0.0035363669082085236,-0.07883434703839762,0.5097314085195963,-0.4020352413028725,0.20417676108197838,paired_cohen_dz,-0.15465860200248358,0.68359375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,1.0,0.9895833333333334,small_n;ci_crosses_zero,-0.07883434703839762,-0.4020352413028725,0.20417676108197838,0.68359375,0.9895833333333334,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,balance_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.1437396272620013,0.1647888346762916,0.021049207414290252,0.5574305276082953,-0.3143656119697209,0.413691723992748,paired_cohen_dz,0.037761131426733534,0.9140625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,1.0,1.0,small_n;ci_crosses_zero,0.021049207414290252,-0.3143656119697209,0.413691723992748,0.9140625,1.0,small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post,NAMPT_z,10,10,participant_id,,paired,10,10,10,10,-0.5942074733483029,0.5784064701594829,1.172613943507786,0.8083684190962352,0.7339802841982744,1.669353669505899,paired_cohen_dz,1.4505934618509482,0.00390625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.04241071428571429,0.0655368926214757,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,1.172613943507786,0.7339802841982744,1.669353669505899,0.00390625,0.0655368926214757,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post,inflammatory_score,10,10,participant_id,,paired,10,10,10,10,-0.208126153817452,0.26427625312212655,0.4724024069395784,0.6333149923708719,0.07845801390367178,0.8283916200462392,paired_cohen_dz,0.7459201386834335,0.044921875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.16257440476190477,0.21337890625,ci_excludes_zero;nominal_p_lt_0.05,0.4724024069395784,0.07845801390367178,0.8283916200462392,0.044921875,0.21337890625,ci_excludes_zero;nominal_p_lt_0.05,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
